TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,16412,16412,1,Park suma Ivlje,Park suma Ivlje,Predeli izuzetnih odlika,Landscape of Outstanding Qualities,National,Not Assigned,Not Applicable,0,0,0,0.65,0.7643100699,Not Applicable,0,Designated,1958,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145249,145249,1,Prokop,Prokop,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.06,0.08416320077,Not Applicable,0,Designated,1958,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328911,328911,1,Prerast- prirodni most na recnom koritu Valje Prerast kod Majdampeka,Prerast- prirodni most na recnom koritu Valje Prerast kod Majdampeka,Spomenik prirode,Natural Monument,National,Not Assigned,Not Applicable,0,0,0,0.08,0.07489704668,Not Applicable,0,Designated,1959,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328910,328910,1,Djavolja varos,Djavolja varos,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.67,0.7304890355,Not Applicable,0,Designated,1959,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145141,145141,1,Mala jasenova glava,Mala jasenova glava,Rezervat prirode,Nature Reserve,National,IV,Not Applicable,0,0,0,0.06,0.06659426651,Not Applicable,0,Designated,1961,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145272,145272,1,Bukovo,Bukovo,Rezervat prirode,Nature Reserve,National,Ia,Not Applicable,0,0,0,0.1,0.1285977474,Not Applicable,0,Designated,1961,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145428,145428,1,Ivanovacka ada,Ivanovacka ada,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.06,0.05996243381,Not Applicable,0,Designated,1961,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328912,328912,1,Homoljska potajnica,Homoljska potajnica,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.04,0.05153079809,Not Applicable,0,Designated,1961,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145142,145142,1,Jaresnik,Jaresnik,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.03,0.02312867404,Not Applicable,0,Designated,1961,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328919,328919,1,Pecina Resava,Pecina Resava,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.11,0.1195430865,Not Applicable,0,Designated,1963,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328841,328841,1,Deliblatska pescara,Deliblatska pescara,Rezervat prirode,Nature Reserve,National,IV,Not Applicable,0,0,0,348.29,353.0328745,Not Applicable,0,Designated,1965,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145403,145403,1,Gutavica,Gutavica,Rezervat prirode,Nature Reserve,National,IV,Not Applicable,0,0,0,0.11,0.1089575332,Not Applicable,0,Designated,1965,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145396,145396,1,Calacki potok,Calacki potok,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.03,0.02678420558,Not Applicable,0,Designated,1968,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328917,328917,1,Petrlaska pecina,Petrlaska pecina,Spomenik prirode,Natural Monument,National,Not Assigned,Not Applicable,0,0,0,0,0.2645806257,Not Applicable,0,Designated,1969,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,16414,16414,1,Lepterija-Sokograd,Lepterija-Sokograd,Predeli izuzetnih odlika,Landscape of Outstanding Qualities,National,V,Not Applicable,0,0,0,4.05,3.380810849,Not Applicable,0,Designated,1969,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145429,145429,1,Ritska suma na ostrvu Mackov prud,Ritska suma na ostrvu Mackov prud,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.04,0.01612017419,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145405,145405,1,Salinacki lug,Salinacki lug,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.19,0.3883372195,Not Applicable,0,Designated,1971,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,555588963,555588963,1,Rogot,Rogot,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,2.91,3.007539709,Not Applicable,0,Designated,2009,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,16416,16416,1,Ozrenske livade,Ozrenske livade,Predeli izuzetnih odlika,Landscape of Outstanding Qualities,National,Not Assigned,Not Applicable,0,0,0,8.28,6.810704352,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328853,328853,1,Kadinjaca,Kadinjaca,Podrucje od kulturnog i istorijskog znacaja,Area of Cultural and Historical Importance,National,Not Assigned,Not Applicable,0,0,0,0.53,0.5715029814,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388812,388812,1,Straza,Straza,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.68,0.6144822815,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388833,388833,1,Stari park u Vlajkovcu,Stari park u Vlajkovcu,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.05,0.005173689059,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388832,388832,1,Stari park u Coki,Stari park u Coki,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.06,0.05480792854,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388826,388826,1,Park dvorca Jagodic,Park dvorca Jagodic,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.09,0.09238851045,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388828,388828,1,Stari park u Velikom gaju,Stari park u Velikom gaju,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.07,0.05978637221,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388827,388827,1,Park dvorca u Hajducici,Park dvorca u Hajducici,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.06,0.1838027097,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328923,328923,1,Hadzi Prodanova pecina,Hadzi Prodanova pecina,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0,0.05521981214,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328920,328920,1,Bogovinska pecina,Bogovinska pecina,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.14,0.166293274,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388824,388824,1,Park dvorca u Konaku,Park dvorca u Konaku,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.02,0.02388864406,Not Applicable,0,Designated,1975,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328924,328924,1,Krupacko vrelo,Krupacko vrelo,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.06,0.2532781205,Not Applicable,0,Designated,1975,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
