ID,naziv,tip,opstina,ha,ar,m2,ekoloska_mreza
248,"Stablo himalajskog borovca,ul. Temišvarska 23",Natural Monument,Beograd-Savski Venac,0,0,82,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
249,Potpećka pećina,Natural Monument,Užice,19,60,0,Turistička organizacija Opštine Užice
250,Stablo jasike,Natural Monument,Podujevo,0,4,90,"Rusten Šaban, Bajčina"
251,Lazarev kanjon,Natural Monument,"Bor, Boljevac",1755,0,0,"JP Srbijašume, Novi Beograd"
252,Stablo hrasta kitnjaka - Debela granica,Natural Monument,Užice,0,1,13,"JP Srbijašume, Novi Beograd"
253,Dva stabla hrasta lužnjaka u okolini manastira Žiča,Natural Monument,Kraljevo,0,34,15,Manastir Žiča
254,Crni bor u klisuri reke Ibar,Natural Monument,Kraljevo,0,1,0,"JP Srbijašume, Novi Beograd"
255,Grupa stabala - Lozovik,Natural Monument,Velika Plana,0,0,0,Srpska pravoslavna crkva na opštini Lozovik
256,Stablo hrasta lužnjaka - Ratina,Natural Monument,Kraljevo,0,0,28,"Čurlić Dragoš,selo Ratina"
257,Krupačko vrelo,Natural Monument,Bela Palanka,5,70,44,"JKP za vodovod i kanalizaciju Naisus,Sektor za proizvodnju i distribuciju vode, Niš"
258,Ribnica,Natural Monument,Mionica,28,0,0,Ekološko istraživačko društvo Mionica
259,Cerjanska pećina,Natural Monument,Niš,63,96,89,JP Direkcija za izgradnju grada Niša
260,Rćanske pećine,Natural Monument,Lučani,111,65,0,"Centar za kulturu, sport i turizam opštine Lučani ""Dragačevo"""
261,Dva stabla hrasta lužnjaka Đurđevak,Natural Monument,Lučani,0,10,45,Ekološko društvo Dragačevo iz Guče
262,Stablo hrasta lužnjaka (Quercus robur L.) u mestu Bela Voda,Natural Monument,Kruševac,0,0,0,Turističko društvo Kiseljak i Mesna zajednica Bele Vode
263,Stablo hrasta lužnjaka Vraneši,Natural Monument,Vrnjačka Banja,0,9,62,JP za gazdovanje zaštitnim šumama i obavljanje i razvoj komunalne delatnosti Beli izvor
264,Mermerna pećina,Natural Monument,Lipljan,38,64,95,JP Mermerna pećina
265,Radanova gora,Natural Monument,Lučani,1,27,34,"Ivanović Ranislav, Guča"
266,Klokočevac,Natural Monument,Kosjerić,0,64,0,"JP Srbijašume, Novi Beograd"
267,Dunavski park,Natural Monument,Novi Sad,12,26,59,JKP Gradsko Zelenilo Novi Sad
268,Stablo lipe- Mira,Natural Monument,Bogatić,0,4,81,"Milovan Jakšić,Badovinci"
269,Grupa stabala hrasta lužnjaka Kod Jozića kolibe,Natural Monument,Beograd-Obrenovac,0,16,25,Javno preduzeće za zaštitu i unapređenje životne sredine opštine Obrenovac
270,Dve magnolije u Botićevoj,Natural Monument,Beograd-Savski Venac,0,0,60,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
271,Tisa u Botićevoj,Natural Monument,Beograd-Savski Venac,0,0,50,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
272,Dva stabla himalajskog borovca,Natural Monument,Beograd-Savski Venac,0,2,2,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
273,Hrast na Cvetnom trgu,Natural Monument,Beograd-Vračar,0,2,83,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
274,Platan kod Miloševog konaka,Natural Monument,Beograd-Savski Venac,0,18,85,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
275,Bela topola u Molu,Natural Monument,Ada,0,3,14,JKP ''Standard'' Ada
276,Četiri stabla platana,Natural Monument,Bačka Palanka,0,7,0,Opština Bačka Palanka
277,Hrast lužnjak u Staroj Moravici,Natural Monument,Bačka Topola,0,7,65,"Reformatorska crkvena opština, Stara Moravica"
278,Grupa stabala Dobri potok,Natural Monument,Krupanj,0,97,29,SPC Dobri potok
279,Stablo lipe Bela crkva,Natural Monument,Krupanj,0,3,14,Biblioteka POLITIKA
280,Hrast lužnjak u dvorištu crpne stanice kod Kumana,Natural Monument,Novi Bečej,0,13,85,"Javno vodoprivredno preduzeće ''Vode Vojvodine'', Novi Sad"
281,Tri stabla belog jasena kod Dolova,Natural Monument,Pančevo,0,10,43,Društveni fond građevinskog zemljišta i puteva opštine Pančevo
282,Bela topola kod Stare Pazove,Natural Monument,Stara Pazova,0,8,3,"JKP Čistoća, Stara Pazova"
283,Dva stabla tise u Subotici,Natural Monument,Subotica,0,2,40,JKP Čistoća i zelenilo
284,Beli dud u Gardinovcima,Natural Monument,Titel,0,1,13,"Đurđev Vojislav, Gardinovci"
285,Engleski poljski brest u Šajkašu,Natural Monument,Titel,0,4,57,"Dobrić Tima, Šajkaš"
286,Lukića hrast - Ranilović - (zapis),Natural Monument,Aranđelovac,0,6,38,OŠ Ljubomir Nenadović i Mesna zajednica Ranilovići
287,Hrast Koče kapetana (zapis),Natural Monument,Jagodina,0,12,56,Fond za zaštitu i unapređenje životne sredine opštine Jagodina
288,Platan na Vračaru,Natural Monument,Beograd-Vračar,0,4,85,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
289,Dva stabla hrasta lužnjaka - Petrovac,Natural Monument,Petrovac,0,11,75,Komunalno javno preduzeće IZVOR
290,Hrast Dići - ( zapis),Natural Monument,Ljig,0,4,2,Miloš Sretenović
291,Stablo breze u Donjoj Kravarici,Natural Monument,Lučani,0,1,70,'Ekološko društvo Dragačevo'' Guča
292,Stablo lipe u Guči,Natural Monument,Lučani,0,47,99,'Ekološko društvo Dragačevo'' Guča
293,Stablo bele vrbe u Guberevcima,Natural Monument,Lučani,0,0,72,'Ekološko društvo Dragačevo'' Guča
294,Stablo drena u Guberevcima,Natural Monument,Lučani,0,0,17,'Ekološko društvo Dragačevo'' Guča
295,Stablo hrasta sladuna u Vlasteljicama,Natural Monument,Lučani,0,5,90,Ekološko društvo Dragačevo'' Guča
296,Stablo lipe u Kaoni,Natural Monument,Lučani,0,0,66,'Ekološko društvo Dragačevo'' Guča
297,Stablo drena u Viči,Natural Monument,Lučani,0,0,30,'Ekološko društvo Dragačevo'' Guča
298,Stablo klena u Viči,Natural Monument,Lučani,0,0,20,'Ekološko društvo Dragačevo'' Guča
299,Stablo lipe u Pšaniku,Natural Monument,Lučani,0,1,18,'Ekološko društvo Dragačevo'' Guča
300,Crni bor Lira,Natural Monument,Nova Varoš,0,0,77,"JP Srbijašume, Novi Beograd"
301,Munika u selu Senište,Natural Monument,Nova Varoš,0,2,16,"JP Srbijašume, Novi Beograd"
302,Dva hrasta Vračević,Natural Monument,Lajkovac,0,34,86,"OŠ Mile Dubljević,Lajkovac"
303,Stablo hrasta lužnjaka Debeli grm-Runjani,Natural Monument,Loznica,0,6,15,"JP za upravljanje građevinskim zemljištem ''Grad'', Loznica"
304,Cerovi kod Đušinog groba,Natural Monument,Blace,0,11,52,"JP Srbijašume, Novi Beograd"
305,Novoselski brest zapis,Natural Monument,Niš,0,6,60,JKP Mediana Niš
306,Dud zapis u Medoševcu,Natural Monument,Niš,0,3,17,JKP Mediana Niš
307,Pavlovićev hrast u Donjoj Trnavi,Natural Monument,Niš,0,4,69,JKP Mediana Niš
308,Rajkovićev hrast,Natural Monument,Niš,0,2,30,JKP Mediana Niš
309,Hrast zapis kod Banjičkog jezera - (zapis),Natural Monument,Niš,0,4,71,JKP Mediana Niš
310,Cer zapis u Leskoviku,Natural Monument,Niš,0,4,56,JKP Mediana Niš
311,Beli dud u Niškoj Banji,Natural Monument,Niš,0,1,65,JKP Mediana Niš
312,Hrast lužnjak u Donjoj Trnavi,Natural Monument,Niš,0,6,67,JKP Mediana Niš
313,Stablo hrasta lužnjaka u selu Crna Bara,Natural Monument,Vlasotince,0,5,14,MZ Crna bara
314,Stablo hrasta lužnjaka- Jovanov hrast zapis,Natural Monument,Prokuplje,0,3,36,"Milenković Jugoslav, selo Gornji Statovac, Prokuplje"
315,Stablo cera- Zdravinjski cer zapis,Natural Monument,Prokuplje,0,5,4,"Ilić Stanoje, selo Zdravinje, Prokuplje"
316,Stablo oraha,Natural Monument,Prokuplje,0,6,9,"JP Srbijašume, ŠG Toplica - Kuršumlija, ŠU Prokuplje"
317,Stablo hrasta lužnjaka u selu Kovači,Natural Monument,Kraljevo,0,4,58,Brestovac Miloš
318,Stari hrast u Godačici,Natural Monument,Kraljevo,0,96,77,Miletić Dragiša
319,Brđanka-divlja kruška (zapis),Natural Monument,Kragujevac,0,14,60,Lekić Žarko
320,Fikus - Čačak,Natural Monument,Čačak,0,0,0,Dom kulture Čačak
321,Bogojevački brest - zapis,Natural Monument,Leskovac,0,5,16,Medicinski centar u Leskovcu
322,Stablo topole - zapis u Guberevcu,Natural Monument,Leskovac,0,6,60,MZ Guberevac
323,Kutleški hrast- zapis,Natural Monument,Leskovac,0,4,75,Hranislav (Vladimira) Stefanović
324,Stablo oskoruše,Natural Monument,Leskovac,0,2,28,Vitomir (Vide) Nešić
325,Park dvorca u Konaku,Natural Monument,Sečanj,2,2,75,OŠ Vuk Karadžić
326,Platan u dvorištu OŠ Miloš Crnjanski,Natural Monument,Novi Sad,0,0,23,"JKP Gradsko Zelenilo, Novi Sad"
327,Stari park u Temerinu,Natural Monument,Temerin,3,77,72,JKP Temerin
328,Park dvorca Jagodić,Natural Monument,Plandište,8,64,20,"DP Trudbenik, Jagodić"
329,Park dvorca u Hajdučici,Natural Monument,Plandište,5,72,39,PDP ''Hajdučica''
330,Stari park u Velikom gaju,Natural Monument,Plandište,6,67,16,STUR Ginko
331,Park Učiteljske škole- Jagodina,Natural Monument,Jagodina,1,67,64,Fond za zaštitu i unapređenje životne sredine opštine Jagodina
332,Gradski park Đurđevo brdo,Natural Monument,Jagodina,5,35,22,Fond za zaštitu i unapređenje životne sredine opštine Jagodina
333,Visibaba - stabla lužnjaka,Natural Monument,Požega,0,11,5,JP Direkcija za izgradnju Požega
334,Bukovički hrast zapis,Natural Monument,Kraljevo,0,4,85,"Vukosav Vasilija Jevtović iz Bukovice, Kraljevo"
335,Samailski krajputaški hrastovi,Natural Monument,Kraljevo,0,79,47,Starešina crkve u Samailima
336,Stopića pećina,Natural Monument,Čajetina,65,82,52,Turistička organizacija Zlatibor
